time,X_0_mean,X_1_mean,X_2_mean,X_3_mean,kappa_1_mean,X_0_sd,X_1_sd,X_2_sd,X_3_sd,kappa_1_sd,X_0_se,X_1_se,X_2_se,X_3_se,kappa_1_se
2826,0.00040189999248832465,0.0032441999330039837,0.014223099614537205,0.03965109897044749,7.1200665228366855,0.0033329828786001726,0.012831335179327975,0.03178472540140812,0.05445855143848837,1.4528193532765463,0.00010539817298721023,0.0004057624458772148,0.0010051212707145932,0.0017221306061906234,0.04594218185126695
2827,0.00040329998778179286,0.0032582999321457465,0.014251899643422803,0.03951059893981437,7.1212485098838805,0.0033812085151425,0.012834769027428783,0.031777604097179564,0.05428595139891678,1.4531535091358645,0.00010692320151806225,0.0004058710336885908,0.001004896075301861,0.0017166725136978091,0.045952748787356314
2828,0.0004196999869309366,0.0032649999111308715,0.014261299662794045,0.03950389897607966,7.123005517244339,0.003496711040484456,0.012897830801527309,0.0318465035138479,0.05429222801651281,1.453365358659103,0.00011057571207388125,0.0004078652220830143,0.00100707486616315,0.0017168709977738626,0.045959448057502864
2829,0.0004166999883018434,0.003272999925422482,0.014206499657819222,0.0395136989918974,7.125251811742783,0.003434339095585388,0.01299716234874594,0.03177736988983326,0.05435864722750302,1.4543670766052457,0.00010860333799412549,0.0004110063614102087,0.0010048886690152705,0.001718971357645066,0.045991125160331624
2830,0.00041529998974874617,0.003269599912498961,0.014220399610952882,0.03954099893935199,7.127455617904663,0.0034267182234210248,0.012993624653038001,0.03187248149229318,0.05440368686866655,1.455903540930328,0.00010836234485616185,0.0004108944896491518,0.0010078963619720885,0.0017203956361558003,0.04603971242844016
2831,0.00042549998639151456,0.0032614999143916064,0.014169299659050012,0.039568498992870446,7.128856208324432,0.0035312219415189845,0.012876212022060695,0.031726019918822734,0.05444961082465116,1.4565371216212524,0.00011166704258761896,0.0004071815762495405,0.0010032648403535017,0.0017218478791565675,0.0460597480090884
2832,0.0004245999872218817,0.0032259999222442274,0.014197899643841083,0.03952639906611875,7.129877420425415,0.0035124167027628583,0.012780667484043358,0.03174753946287194,0.05432047472184101,1.4572605544430497,0.00011107236872349265,0.0004041601926683072,0.0010039453480875397,0.00171776423702619,0.046082624963598426
2833,0.0004203999862074852,0.0032309999275530574,0.014177999656058092,0.039425998991515374,7.13141352558136,0.003487883086904099,0.012872677166945998,0.031703847460249394,0.05418789530961844,1.4567972611076851,0.00011029654766995958,0.00040706979431592914,0.0010025636856493267,0.0017135717078914931,0.046067974341953144
2834,0.000408499994315207,0.003232999910294893,0.014111599677213234,0.03938289898900257,7.132409927845001,0.003394112180581303,0.012882466312270465,0.03154778573996635,0.05421071947093773,1.4566484582489831,0.00010733125124757638,0.0004073793542716462,0.0009976285807327414,0.0017142934712460138,0.046063268782394716
2835,0.0004154999884776771,0.0031945999145609675,0.014064499658670683,0.039380499098988365,7.134227921724319,0.0034496418798651693,0.012700284248293304,0.03146141923233029,0.05423657425668247,1.4577035204033564,0.00010908725452278877,0.00040161825156166274,0.0009948974319558988,0.001715111071359704,0.046096632777203356
2836,0.0004189999895170331,0.0031793999276997055,0.014018999658212124,0.03924859906737402,7.136874920368195,0.0034871591199497325,0.012670792276493752,0.0313336497738912,0.054096318503183215,1.4579988339555123,0.00011027365382469465,0.00040068563352590233,0.0009908570069151613,0.0017106757949996963,0.04610597141169063
2837,0.00041399998776614667,0.003158999920589849,0.014115899648219056,0.03922419895364146,7.13726292181015,0.0034252877174740927,0.012565311697271275,0.03161049149919493,0.0540034770369689,1.4581018427290147,0.00010831710828617462,0.0003973500447333337,0.000999611510948466,0.0017077398900542282,0.04610922883512311
2838,0.00040719998884014786,0.0031244999243644996,0.014150299647088105,0.039118199005715726,7.137947922229767,0.003369020298182168,0.01242780322208317,0.03169930184179944,0.05385856737756312,1.4576486165888944,0.00010653777625595283,0.00039300164494162216,0.0010024199405725674,0.0017031574442674133,0.046094896566144045
2839,0.0004101999893318862,0.0031323999419109894,0.014127899691440689,0.03904829896093725,7.139829924583435,0.003384253013590202,0.01244448513617822,0.031697886382579435,0.053901531663125675,1.4583783278324194,0.00010701947701233812,0.00039352917338433835,0.0010023751798218642,0.0017045160942716089,0.04611797206178177
2840,0.00040379999415017666,0.003159099894910469,0.014073799637830234,0.03909939907594526,7.140840418577194,0.003340872156506206,0.01258383004725386,0.03162105393239437,0.053947307116080416,1.457796428846058,0.00010564765385998132,0.00039793564637786484,0.0009999455244139022,0.0017059636411942375,0.04609957080013132
2841,0.0004121999905910343,0.003182599923442467,0.014052499641533359,0.039058698970708065,7.142903819084167,0.0033754413440431554,0.01269598431056663,0.03158454086032163,0.05379127425400218,1.458029195597936,0.00010674082755476399,0.000401482275591531,0.0009987908796927046,0.0017010294488542161,0.04610693153112626
2842,0.0004048999897786416,0.0031875999269250317,0.013981599600017944,0.03901429898419883,7.1453207104206085,0.003313630260429539,0.012773553266434836,0.03140822954497504,0.05373186098346139,1.4576235609111088,0.00010478618946614261,0.00040393522135417714,0.0009932154263551504,0.0016991506362727291,0.04609410423604282
2843,0.0003957999928097706,0.0031904999091639185,0.013993399631501233,0.03901209900938556,7.146430211782455,0.0032432392102395087,0.012794120500388324,0.03140517467681116,0.053742853604044044,1.4572327886092256,0.00010256022901122537,0.00040458561439880283,0.0009931188229416563,0.0016994982534576815,0.04608174693083825
2844,0.0003977999927010387,0.0032113999127032,0.01396009965097619,0.03900859902819502,7.1477242276668544,0.003245604524791916,0.012906388890931497,0.031228013044300135,0.0536970706743279,1.4577354332805155,0.00010263502682490885,0.0004081358526323802,0.0009875164802143706,0.0016980504700990972,0.04609764195098847
2845,0.00040299998928094283,0.00321589990069333,0.013905299689489767,0.03889589907453046,7.148783917188644,0.0033332748341603916,0.012943970497803598,0.031159528516700577,0.0535982463672979,1.4574804580598473,0.00010540740543266865,0.00040932428739082893,0.000985350809297418,0.0016949253711150715,0.04608957892654632
2846,0.0003940999910410028,0.0032228999354265396,0.01385889969800337,0.038860799035566745,7.15007141160965,0.003291718429079621,0.013027465391780893,0.031043346978578936,0.05357146550217632,1.457828442725204,0.00010409327651843038,0.00041196462777045423,0.0009816768264721573,0.0016940784858001318,0.046100583167879704
2847,0.000395199986975058,0.0032008999165846035,0.013838199647128931,0.038829499029983706,7.151622318506241,0.0033350860600841648,0.012966534280854008,0.030996432883191413,0.053466302875730606,1.4570495874026805,0.00010546468142543132,0.00041003781686152095,0.0009801932725142476,0.0016907529515571929,0.04607595360001051
2848,0.0003943999930561404,0.0032047998929483584,0.01379329969126411,0.03887219900998025,7.153735118627548,0.0033541614250601343,0.012963959624223724,0.030883884155430984,0.05363987912022362,1.4568314387633623,0.00010606789743066198,0.0004099563990700754,0.0009766341692394758,0.0016962419143601545,0.04606905513432339
2849,0.0003863999912791769,0.0032164999271335547,0.013823099665358314,0.038875499014851815,7.154341618537903,0.0033053835214532034,0.013024160671564729,0.030990931425329785,0.05363508086915567,1.457804929110937,0.00010452540468180154,0.0004118601233413274,0.0009800193011413056,0.0016960901803385541,0.04609983960210864
2850,0.00037399999075569214,0.0032147999145381617,0.013847799623246828,0.038832099062914495,7.15598322892189,0.0032116535047019487,0.013014742944128575,0.030971286424801445,0.053631898201087255,1.4579991596958988,0.00010156140130120453,0.00041156230865051837,0.000979398071678258,0.0016959895355372293,0.0461059817125061
2851,0.0003713999928440899,0.0031976999290563982,0.013840199648810085,0.038745499143034975,7.1580183084011075,0.0031453990641661183,0.013032765300463038,0.030937412305705396,0.053548216994943894,1.4585912815173891,9.946625192927043e-05,0.000412132225598719,0.0009783268779775048,0.0016933433034495983,0.046124706248588075
2852,0.0003735999925993383,0.0031839999408039147,0.01382679964772251,0.03870009911769739,7.1594278073310855,0.003144453876905727,0.013020145270677306,0.030907516995542096,0.05353533059864137,1.4580962687708736,9.943636248368832e-05,0.0004117331452160982,0.0009773815052627728,0.0016929357998181228,0.04610905257109003
